time,ir
15062,112821
15081,112822
15101,112804
15121,112821
15141,112793
15161,112829
15181,112808
15203,112814
15222,112803
15243,112826
15262,112826
15283,112837
15302,112827
15323,112828
15342,112828
15363,112835
15382,112801
15403,112787
15422,112789
15443,112783
15464,112771
15483,112788
15504,112810
15523,112801
15544,112797
15563,112790
15584,112807
15603,112806
15624,112795
15644,112821
15664,112805
15685,112822
15705,112796
15725,112819
15745,112817
15765,112797
15784,112820
15805,112835
15825,112825
15845,112824
15865,112829
15885,112836
15905,112832
15926,112817
15946,112814
15967,112808
15986,112778
16007,112759
16026,112761
16047,112770
16066,112773
16087,112767
16106,112787
16126,112772
16146,112782
16166,112799
16188,112792
16207,112795
16228,112777
16247,112799
16268,112799
16287,112803
16308,112805
16327,112802
16348,112802
16367,112798
16388,112806
16408,112811
16429,112804
16449,112802
16468,112815
16489,112829
16509,112818
16529,112806
16549,112830
16569,112791
16589,112786
16609,112766
16629,112751
16649,112751
16669,112733
16691,112750
16710,112758
16731,112748
16750,112749
16771,112755
16790,112764
16811,112770
16830,112757
16850,112758
16870,112760
16890,112756
16910,112769
16931,112771
16952,112788
16971,112780
16992,112791
17011,112793
17032,112785
17051,112793
17072,112786
17091,112803
17112,112810
17131,112787
17152,112798
17173,112817
17192,112804
17213,112788
17232,112777
17253,112759
17273,112750
17293,112741
17313,112746
17333,112750
17353,112766
17373,112755
17393,112772
17415,112768
17434,112777
17455,112756
17474,112771
17495,112745
17514,112758
17534,112778
17554,112762
17574,112765
17594,112761
17614,112762
17634,112779
17654,112778
17676,112795
17695,112795
17716,112786
17735,112808
17756,112796
17775,112795
17796,112786
17815,112784
17836,112786
17856,112780
17875,112767
17896,112761
17916,112745
17937,112752
17956,112761
17977,112756
17997,112749
18017,112755
18037,112756
18057,112756
18077,112776
18097,112752
18117,112780
18137,112757
18158,112771
18179,112761
18198,112780
18219,112756
18238,112779
18258,112793
18278,112782
18298,112802
18318,112807
18338,112798
18358,112793
18378,112801
18398,112802
18419,112814
18440,112822
18459,112790
18480,112800
18499,112794
18520,112798
18539,112780
18560,112763
18580,112769
18599,112737
18620,112755
18639,112762
18660,112756
18681,112759
18701,112758
18721,112762
18741,112776
18761,112761
18781,112775
18801,112786
18821,112775
18841,112780
18861,112785
18881,112777
18900,112800
18922,112795
18942,112780
18962,112795
18982,112796
19002,112799
19022,112813
19042,112810
19062,112815
19082,112801
19102,112813
19122,112810
19142,112814
19163,112792
19183,112801
19204,112777
19223,112776
19244,112765
19263,112768
19283,112776
19303,112766
19323,112769
19344,112758
19363,112775
19384,112782
19403,112755
19425,112781
19445,112786
19465,112780
19485,112769
19505,112794
19525,112789
19545,112784
19565,112781
19585,112801
19605,112804
19624,112793
19645,112827
19666,112818
19686,112810
19706,112831
19726,112829
19746,112826
19766,112817
19786,112854
19806,112833
19826,112826
19846,112806
19866,112801
19886,112788
19906,112788
19928,112776
19947,112784
19968,112795
19987,112782
20007,112788
20028,112783
20047,112818
20068,112813
20087,112804
20108,112799
20127,112814
20148,112824
20167,112818
20189,112816
20209,112827
20229,112829
20249,112789
20269,112808
20289,112813
20308,112826
20329,112828
20348,112829
20369,112818
20388,112822
20409,112812
20430,112833
20450,112799
20470,112812
20490,112770
20510,112775
20530,112762
20550,112743
20570,112741
20590,112739
20611,112754
20630,112752
